k,recall,precision,hit,mrr,ndcg
1,0.7502777777777777,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
3,0.9119444444444444,0.36111111111111105,0.9416666666666667,0.8847222222222223,0.8806621698999016
5,0.9584722222222222,0.23,0.9833333333333333,0.8943055555555556,0.8994621853513176
10,0.9795833333333334,0.11916666666666667,0.9916666666666667,0.8956944444444445,0.9075182482335006
15,0.9795833333333334,0.07944444444444444,0.9916666666666667,0.8956944444444445,0.9075182482335006
