k,recall,precision,hit,mrr,ndcg
1,0.7069444444444444,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333
3,0.8422222222222222,0.3361111111111111,0.8666666666666667,0.8236111111111111,0.8172842311745103
5,0.9063888888888889,0.21666666666666667,0.925,0.8369444444444445,0.8435029496728986
10,0.9372222222222223,0.11333333333333334,0.9416666666666667,0.8391765873015873,0.8542826952748076
15,0.9559722222222222,0.07722222222222222,0.9666666666666667,0.8411072954822955,0.8595561002413546
