k,recall,precision,hit,mrr,ndcg
1,0.7502777777777777,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
3,0.9091666666666666,0.35833333333333334,0.9416666666666667,0.8861111111111111,0.8791289297308038
5,0.9473611111111111,0.22666666666666668,0.975,0.8936111111111111,0.8941160537832473
10,0.9754166666666666,0.11833333333333335,0.9916666666666667,0.8959920634920635,0.9045839886746456
15,0.98375,0.08,0.9916666666666667,0.8959920634920635,0.9072338450868718
