k,recall,precision,hit,mrr,ndcg
1,0.5988888888888888,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333
3,0.7966666666666666,0.325,0.825,0.75,0.7505325389268509
5,0.8820833333333333,0.215,0.9083333333333333,0.7691666666666667,0.7846388671481452
10,0.9372222222222223,0.11583333333333333,0.9583333333333334,0.775978835978836,0.8043408572133917
15,0.9525,0.07888888888888888,0.9666666666666667,0.776574074074074,0.8088088056165622
