metric,value,numerator,denominator,percent
Ответов всего,50,,,
Ответов с цитатами,,50,50,100.00
Всего цитат,129,,,
Валидных цитат,,107,129,82.95
Ответов с хотя бы одной валидной цитатой,,46,50,92.00
Ответов, где все цитаты валидны,,38,50,76.00
Retrieval hit: среди ctx_ids есть хотя бы один rel,,49,50,98.00
Gold citation hit: модель процитировала gold-релевантный chunk,,44,50,88.00
Found rate,,50,50,100.00
