k,recall,precision,hit,mrr,ndcg
1,0.4361111111111111,0.5,0.5,0.5,0.5
3,0.5738888888888888,0.23055555555555554,0.625,0.5569444444444444,0.5392086457876059
5,0.6452777777777778,0.16,0.6833333333333333,0.5694444444444444,0.5704311742221239
10,0.7330555555555556,0.09083333333333334,0.7583333333333333,0.5789087301587301,0.5996397118773992
15,0.7733333333333333,0.0638888888888889,0.7916666666666666,0.581341575091575,0.6107051689675461
